date,permits_count,timestamp
2020-01-01,7,2025-11-05T17:26:12Z [SKIPPED]
2020-01-02,109,2025-11-05T17:26:15Z [SKIPPED]
2020-01-03,128,2025-11-05T17:26:19Z [SKIPPED]
2020-01-04,8,2025-11-05T17:26:22Z [SKIPPED]
2020-01-05,11,2025-11-05T17:26:26Z [SKIPPED]
2020-01-06,149,2025-11-05T17:26:30Z [SKIPPED]
2020-01-07,135,2025-11-05T17:26:33Z [SKIPPED]
2020-01-08,123,2025-11-05T17:26:36Z [SKIPPED]
2020-01-09,169,2025-11-05T17:26:40Z [SKIPPED]
2020-01-10,143,2025-11-05T17:26:43Z [SKIPPED]
2020-01-11,8,2025-11-05T17:26:47Z [SKIPPED]
2020-01-12,9,2025-11-05T17:26:50Z [SKIPPED]
2020-01-13,160,2025-11-05T17:26:53Z [SKIPPED]
2020-01-14,244,2025-11-05T17:26:57Z [SKIPPED]
2020-01-15,151,2025-11-05T17:27:01Z [SKIPPED]
2020-01-16,162,2025-11-05T17:27:04Z [SKIPPED]
2020-01-17,133,2025-11-05T17:27:08Z [SKIPPED]
2020-01-18,15,2025-11-05T17:27:12Z [SKIPPED]
2020-01-19,10,2025-11-05T17:27:15Z [SKIPPED]
2020-01-20,38,2025-11-05T17:27:19Z [SKIPPED]
2020-01-21,58,2025-11-05T17:27:22Z [SKIPPED]
2020-01-22,80,2025-11-05T17:27:26Z [SKIPPED]
2020-01-23,255,2025-11-05T17:27:29Z [SKIPPED]
2020-01-24,189,2025-11-05T17:27:33Z [SKIPPED]
2020-01-25,7,2025-11-05T17:27:36Z [SKIPPED]
2020-01-26,10,2025-11-05T17:27:40Z [SKIPPED]
2020-01-27,158,2025-11-05T17:27:43Z [SKIPPED]
2020-01-28,241,2025-11-05T17:27:47Z [SKIPPED]
2020-01-29,212,2025-11-05T17:27:50Z [SKIPPED]
2020-01-30,186,2025-11-05T17:27:54Z [SKIPPED]
2020-01-31,129,2025-11-05T17:27:57Z [SKIPPED]
2020-02-01,10,2025-11-05T17:28:01Z [SKIPPED]
2020-02-02,4,2025-11-05T17:28:04Z [SKIPPED]
2020-02-03,158,2025-11-05T17:28:08Z [SKIPPED]
2020-02-04,254,2025-11-05T17:28:11Z [SKIPPED]
2020-02-05,159,2025-11-05T17:28:15Z [SKIPPED]
2020-02-06,194,2025-11-05T17:28:18Z [SKIPPED]
2020-02-07,130,2025-11-05T17:28:22Z [SKIPPED]
2020-02-08,10,2025-11-05T17:28:25Z [SKIPPED]
2020-02-09,14,2025-11-05T17:28:28Z [SKIPPED]
2020-02-10,154,2025-11-05T17:28:32Z [SKIPPED]
2020-02-11,218,2025-11-05T17:28:35Z [SKIPPED]
2020-02-12,52,2025-11-05T17:28:38Z [SKIPPED]
2020-02-13,145,2025-11-05T17:28:42Z [SKIPPED]
2020-02-14,121,2025-11-05T17:28:45Z [SKIPPED]
2020-02-15,7,2025-11-05T17:28:48Z [SKIPPED]
2020-02-16,4,2025-11-05T17:28:51Z [SKIPPED]
2020-02-17,21,2025-11-05T17:28:55Z [SKIPPED]
2020-02-18,0,2025-11-05T17:30:16Z [FAILED]
2020-02-19,0,2025-11-05T17:31:34Z [FAILED]
2020-02-20,0,2025-11-05T17:32:40Z [FAILED]
2020-02-21,0,2025-11-05T17:34:14Z [FAILED]
2020-02-22,0,2025-11-05T17:35:57Z [FAILED]
2020-02-23,0,2025-11-05T17:37:29Z [FAILED]
2020-02-24,0,2025-11-05T17:39:23Z [FAILED]
2020-02-25,0,2025-11-05T17:41:15Z [FAILED]
2020-02-26,0,2025-11-05T17:42:29Z [FAILED]
2020-02-27,0,2025-11-05T17:43:59Z [FAILED]
2020-02-28,0,2025-11-05T17:45:24Z [FAILED]
2020-02-29,0,2025-11-05T17:46:44Z [FAILED]
2020-03-01,0,2025-11-05T17:48:27Z [FAILED]
2020-03-02,0,2025-11-05T17:49:51Z [FAILED]
2020-03-03,0,2025-11-05T17:51:24Z [FAILED]
2020-03-04,0,2025-11-05T17:52:46Z [FAILED]
2020-03-05,0,2025-11-05T17:54:02Z [FAILED]
2020-03-06,0,2025-11-05T17:55:22Z [FAILED]
2020-03-07,0,2025-11-05T17:57:03Z [FAILED]
2020-03-08,0,2025-11-05T17:58:43Z [FAILED]
2020-03-09,0,2025-11-05T18:00:12Z [FAILED]
2020-03-10,0,2025-11-05T18:01:52Z [FAILED]
2020-03-11,0,2025-11-05T18:03:37Z [FAILED]
2020-03-12,0,2025-11-05T18:05:40Z [FAILED]
2020-03-13,0,2025-11-05T18:07:29Z [FAILED]
2020-03-14,0,2025-11-05T18:09:17Z [FAILED]
2020-03-15,0,2025-11-05T18:11:15Z [FAILED]
2020-03-16,0,2025-11-05T18:12:48Z [FAILED]
2020-03-17,0,2025-11-05T18:14:29Z [FAILED]
2020-03-18,0,2025-11-05T18:16:17Z [FAILED]
2020-03-19,0,2025-11-05T18:17:57Z [FAILED]
2020-03-20,0,2025-11-05T18:19:39Z [FAILED]
2020-03-21,0,2025-11-05T18:21:18Z [FAILED]
2020-03-22,0,2025-11-05T18:22:34Z [FAILED]
2020-03-23,0,2025-11-05T18:24:11Z [FAILED]
2020-03-24,0,2025-11-05T18:26:05Z [FAILED]
2020-03-25,0,2025-11-05T18:27:31Z [FAILED]
2020-03-26,0,2025-11-05T18:29:18Z [FAILED]
2020-03-27,0,2025-11-05T18:31:00Z [FAILED]
2020-03-28,0,2025-11-05T18:32:44Z [FAILED]
2020-03-29,0,2025-11-05T18:34:11Z [FAILED]
2020-03-30,0,2025-11-05T18:35:53Z [FAILED]
2020-03-31,0,2025-11-05T18:37:11Z [FAILED]
2020-04-01,0,2025-11-05T18:38:21Z [FAILED]
2020-04-02,0,2025-11-05T18:39:53Z [FAILED]
2020-04-03,0,2025-11-05T18:41:03Z [FAILED]
2020-04-04,0,2025-11-05T18:42:35Z [FAILED]
2020-04-05,0,2025-11-05T18:44:01Z [FAILED]
2020-04-06,0,2025-11-05T18:45:44Z [FAILED]
2020-04-07,0,2025-11-05T18:47:33Z [FAILED]
2020-04-08,0,2025-11-05T18:49:15Z [FAILED]
2020-04-09,0,2025-11-05T18:50:52Z [FAILED]
2020-04-10,0,2025-11-05T18:52:06Z [FAILED]
2020-04-11,0,2025-11-05T18:53:28Z [FAILED]
2020-04-12,0,2025-11-05T18:54:45Z [FAILED]
2020-04-13,0,2025-11-05T18:56:05Z [FAILED]
2020-04-14,0,2025-11-05T18:57:38Z [FAILED]
2020-04-15,0,2025-11-05T18:59:28Z [FAILED]
2020-04-16,0,2025-11-05T19:00:58Z [FAILED]
2020-04-17,0,2025-11-05T19:02:08Z [FAILED]
2020-04-18,0,2025-11-05T19:03:36Z [FAILED]
2020-04-19,0,2025-11-05T19:05:04Z [FAILED]
2020-04-20,0,2025-11-05T19:06:21Z [FAILED]
2020-04-21,0,2025-11-05T19:07:50Z [FAILED]
2020-04-22,0,2025-11-05T19:09:23Z [FAILED]
2020-04-23,0,2025-11-05T19:11:46Z [FAILED]
2020-04-24,0,2025-11-05T19:13:23Z [FAILED]
2020-04-25,0,2025-11-05T19:14:55Z [FAILED]
2020-04-26,0,2025-11-05T19:16:42Z [FAILED]
2020-04-27,0,2025-11-05T19:17:46Z [FAILED]
2020-04-28,0,2025-11-05T19:18:58Z [FAILED]
2020-04-29,0,2025-11-05T19:20:39Z [FAILED]
2020-04-30,0,2025-11-05T19:21:59Z [FAILED]
2020-05-01,0,2025-11-05T19:23:32Z [FAILED]
2020-05-02,0,2025-11-05T19:25:21Z [FAILED]
2020-05-03,0,2025-11-05T19:26:40Z [FAILED]
2020-05-04,0,2025-11-05T19:28:05Z [FAILED]
2020-05-05,0,2025-11-05T19:29:34Z [FAILED]
2020-05-06,0,2025-11-05T19:30:46Z [FAILED]
2020-05-07,0,2025-11-05T19:32:33Z [FAILED]
2020-05-08,0,2025-11-05T19:34:17Z [FAILED]
2020-05-09,0,2025-11-05T19:35:43Z [FAILED]
2020-05-10,0,2025-11-05T19:36:59Z [FAILED]
2020-05-11,0,2025-11-05T19:38:47Z [FAILED]
2020-05-12,0,2025-11-05T19:40:27Z [FAILED]
2020-05-13,0,2025-11-05T19:42:22Z [FAILED]
2020-05-14,0,2025-11-05T19:43:36Z [FAILED]
2020-05-15,0,2025-11-05T19:45:12Z [FAILED]
2020-05-16,0,2025-11-05T19:46:31Z [FAILED]
2020-05-17,0,2025-11-05T19:48:01Z [FAILED]
2020-05-18,0,2025-11-05T19:49:47Z [FAILED]
2020-05-19,0,2025-11-05T19:51:35Z [FAILED]
2020-05-20,0,2025-11-05T19:53:00Z [FAILED]
2020-05-21,0,2025-11-05T19:54:23Z [FAILED]
2020-05-22,0,2025-11-05T19:56:12Z [FAILED]
2020-05-23,0,2025-11-05T19:57:49Z [FAILED]
2020-05-24,0,2025-11-05T19:59:31Z [FAILED]
2020-05-25,0,2025-11-05T20:00:51Z [FAILED]
2020-05-26,0,2025-11-05T20:02:10Z [FAILED]
2020-05-27,0,2025-11-05T20:03:38Z [FAILED]
2020-05-28,0,2025-11-05T20:05:04Z [FAILED]
2020-05-29,0,2025-11-05T20:06:45Z [FAILED]
2020-05-30,0,2025-11-05T20:08:25Z [FAILED]
2020-05-31,0,2025-11-05T20:09:50Z [FAILED]
2020-06-01,0,2025-11-05T20:11:36Z [FAILED]
2020-06-02,0,2025-11-05T20:13:12Z [FAILED]
2020-06-03,0,2025-11-05T20:14:30Z [FAILED]
2020-06-04,0,2025-11-05T20:15:56Z [FAILED]
2020-06-05,0,2025-11-05T20:17:38Z [FAILED]
2020-06-06,0,2025-11-05T20:19:07Z [FAILED]
2020-06-07,0,2025-11-05T20:20:40Z [FAILED]
2020-06-08,0,2025-11-05T20:22:21Z [FAILED]
2020-06-09,0,2025-11-05T20:24:03Z [FAILED]
2020-06-10,0,2025-11-05T20:26:00Z [FAILED]
2020-06-11,0,2025-11-05T20:28:05Z [FAILED]
2020-06-12,0,2025-11-05T20:29:33Z [FAILED]
2020-06-13,0,2025-11-05T20:31:25Z [FAILED]
2020-06-14,0,2025-11-05T20:33:10Z [FAILED]
2020-06-15,0,2025-11-05T20:34:32Z [FAILED]
2020-06-16,0,2025-11-05T20:35:53Z [FAILED]
2020-06-17,0,2025-11-05T20:37:59Z [FAILED]
2020-06-18,0,2025-11-05T20:39:52Z [FAILED]
2020-06-19,0,2025-11-05T20:41:15Z [FAILED]
2020-06-20,0,2025-11-05T20:43:22Z [FAILED]
2020-06-21,0,2025-11-05T20:44:40Z [FAILED]
2020-06-22,0,2025-11-05T20:46:12Z [FAILED]
2020-06-23,0,2025-11-05T20:47:43Z [FAILED]
2020-06-24,0,2025-11-05T20:49:25Z [FAILED]
2020-06-25,0,2025-11-05T20:50:53Z [FAILED]
2020-06-26,0,2025-11-05T20:52:53Z [FAILED]
2020-06-27,0,2025-11-05T20:54:12Z [FAILED]
2020-06-28,0,2025-11-05T20:55:28Z [FAILED]
2020-06-29,0,2025-11-05T20:56:52Z [FAILED]
2020-06-30,0,2025-11-05T20:58:33Z [FAILED]
2020-07-01,0,2025-11-05T21:00:31Z [FAILED]
2020-07-02,0,2025-11-05T21:01:49Z [FAILED]
2020-07-03,0,2025-11-05T21:03:01Z [FAILED]
2020-07-04,0,2025-11-05T21:04:42Z [FAILED]
2020-07-05,0,2025-11-05T21:06:23Z [FAILED]
2020-07-06,0,2025-11-05T21:07:35Z [FAILED]
2020-07-07,0,2025-11-05T21:09:05Z [FAILED]
2020-07-08,0,2025-11-05T21:10:43Z [FAILED]
2020-07-09,0,2025-11-05T21:12:16Z [FAILED]
2020-07-10,0,2025-11-05T21:13:46Z [FAILED]
2020-07-11,0,2025-11-05T21:15:09Z [FAILED]
2020-07-12,0,2025-11-05T21:16:27Z [FAILED]
2020-07-13,0,2025-11-05T21:18:08Z [FAILED]
2020-07-14,0,2025-11-05T21:19:19Z [FAILED]
2020-07-15,0,2025-11-05T21:21:18Z [FAILED]
2020-07-16,0,2025-11-05T21:23:00Z [FAILED]
2020-07-17,0,2025-11-05T21:24:29Z [FAILED]
2020-07-18,0,2025-11-05T21:25:55Z [FAILED]
2020-07-19,0,2025-11-05T21:27:13Z [FAILED]
2020-07-20,0,2025-11-05T21:28:26Z [FAILED]
2020-07-21,0,2025-11-05T21:29:40Z [FAILED]
2020-07-22,0,2025-11-05T21:31:28Z [FAILED]
2020-07-23,0,2025-11-05T21:33:39Z [FAILED]
2020-07-24,0,2025-11-05T21:35:09Z [FAILED]
2020-07-25,0,2025-11-05T21:36:41Z [FAILED]
2020-07-26,0,2025-11-05T21:38:45Z [FAILED]
2020-07-27,0,2025-11-05T21:40:00Z [FAILED]
2020-07-28,0,2025-11-05T21:41:47Z [FAILED]
2020-07-29,0,2025-11-05T21:43:20Z [FAILED]
2020-07-30,0,2025-11-05T21:44:35Z [FAILED]
2020-07-31,0,2025-11-05T21:46:38Z [FAILED]
2020-08-01,0,2025-11-05T21:48:23Z [FAILED]
2020-08-02,0,2025-11-05T21:50:30Z [FAILED]
2020-08-03,0,2025-11-05T21:52:16Z [FAILED]
2020-08-04,0,2025-11-05T21:53:41Z [FAILED]
