dataset,date,rows,timestamp
taxi,2022-01-01,7939,2025-11-04T20:15:15Z
taxi,2022-01-02,9031,2025-11-04T20:17:53Z
taxi,2022-01-03,11214,2025-11-04T20:19:40Z
taxi,2022-01-04,10440,2025-11-04T20:21:46Z
taxi,2022-01-05,10124,2025-11-04T20:23:40Z
taxi,2022-01-06,9994,2025-11-04T20:25:26Z
taxi,2022-01-07,9917,2025-11-04T20:27:23Z
taxi,2022-01-08,8207,2025-11-04T20:29:35Z
taxi,2022-01-09,7056,2025-11-04T20:31:31Z
taxi,2022-01-10,9627,2025-11-04T20:33:26Z
taxi,2022-01-11,9495,2025-11-04T20:35:48Z
taxi,2022-01-12,9877,2025-11-04T20:38:05Z
taxi,2022-01-13,10341,2025-11-04T20:39:34Z
taxi,2022-01-14,11099,2025-11-04T20:41:26Z
taxi,2022-01-15,8436,2025-11-04T20:43:06Z
taxi,2022-01-16,7210,2025-11-04T20:44:46Z
taxi,2022-01-17,9142,2025-11-04T20:46:28Z
taxi,2022-01-18,10567,2025-11-04T20:48:16Z
taxi,2022-01-19,10853,2025-11-04T20:49:58Z
taxi,2022-01-20,11361,2025-11-04T20:51:56Z
taxi,2022-01-21,11488,2025-11-04T20:54:25Z
taxi,2022-01-22,8556,2025-11-04T20:56:23Z
taxi,2022-01-23,7820,2025-11-04T20:58:15Z
taxi,2022-01-24,10820,2025-11-04T21:00:20Z
taxi,2022-01-25,11143,2025-11-04T21:02:14Z
taxi,2022-01-26,11617,2025-11-04T21:04:19Z
taxi,2022-01-27,12592,2025-11-04T21:06:41Z
taxi,2022-01-28,12816,2025-11-04T21:08:59Z
taxi,2022-01-29,9610,2025-11-04T21:10:55Z
taxi,2022-01-30,8147,2025-11-04T21:13:21Z
taxi,2022-01-31,11640,2025-11-04T21:15:08Z
taxi,2022-02-01,12698,2025-11-04T21:17:15Z
taxi,2022-02-02,7429,2025-11-04T21:19:09Z
taxi,2022-02-03,11365,2025-11-04T21:20:37Z
taxi,2022-02-04,14419,2025-11-04T21:22:36Z
taxi,2022-02-05,11207,2025-11-04T21:24:32Z
taxi,2022-02-06,9022,2025-11-04T21:26:37Z
taxi,2022-02-07,12398,2025-11-04T21:28:13Z
taxi,2022-02-08,12886,2025-11-04T21:30:00Z
taxi,2022-02-09,12851,2025-11-04T21:32:00Z
taxi,2022-02-10,13700,2025-11-04T21:34:04Z
taxi,2022-02-11,14277,2025-11-04T21:36:01Z
taxi,2022-02-12,11104,2025-11-04T21:37:58Z
taxi,2022-02-13,9832,2025-11-04T21:39:54Z
taxi,2022-02-14,13776,2025-11-04T21:41:25Z
taxi,2022-02-15,13872,2025-11-04T21:43:43Z
taxi,2022-02-16,14048,2025-11-04T21:45:25Z
taxi,2022-02-17,11847,2025-11-04T21:47:13Z
taxi,2022-02-18,16721,2025-11-04T21:49:17Z
taxi,2022-02-19,12517,2025-11-04T21:51:05Z
taxi,2022-02-20,10580,2025-11-04T21:52:50Z
taxi,2022-02-21,11674,2025-11-04T21:54:38Z
taxi,2022-02-22,14514,2025-11-04T21:56:40Z
taxi,2022-02-23,16279,2025-11-04T21:58:36Z
taxi,2022-02-24,17494,2025-11-04T22:00:38Z
taxi,2022-02-25,18256,2025-11-04T22:02:30Z
taxi,2022-02-26,14694,2025-11-04T22:04:24Z
taxi,2022-02-27,11331,2025-11-04T22:06:11Z
taxi,2022-02-28,13754,2025-11-04T22:08:24Z
taxi,2022-03-01,14636,2025-11-04T22:10:35Z
taxi,2022-03-02,15347,2025-11-04T22:12:33Z
taxi,2022-03-03,17061,2025-11-04T22:14:39Z
taxi,2022-03-04,18301,2025-11-04T22:16:52Z
taxi,2022-03-05,15335,2025-11-04T22:19:27Z
taxi,2022-03-06,12801,2025-11-04T22:21:38Z
taxi,2022-03-07,15486,2025-11-04T22:23:31Z
taxi,2022-03-08,15405,2025-11-04T22:25:28Z
taxi,2022-03-09,16080,2025-11-04T22:27:23Z
taxi,2022-03-10,17828,2025-11-04T22:29:26Z
taxi,2022-03-11,17688,2025-11-04T22:31:23Z
taxi,2022-03-12,17809,2025-11-04T22:33:02Z
taxi,2022-03-13,11963,2025-11-04T22:34:29Z
taxi,2022-03-14,15872,2025-11-04T22:36:22Z
taxi,2022-03-15,16285,2025-11-04T22:37:53Z
taxi,2022-03-16,16509,2025-11-04T22:40:02Z
taxi,2022-03-17,18462,2025-11-04T22:41:47Z
taxi,2022-03-18,19574,2025-11-04T22:44:07Z
taxi,2022-03-19,13684,2025-11-04T22:45:50Z
taxi,2022-03-20,12406,2025-11-04T22:47:39Z
taxi,2022-03-21,17029,2025-11-04T22:49:15Z
taxi,2022-03-22,19722,2025-11-04T22:51:21Z
taxi,2022-03-23,20013,2025-11-04T22:53:26Z
taxi,2022-03-24,21626,2025-11-04T22:55:02Z
taxi,2022-03-25,20390,2025-11-04T22:56:53Z
taxi,2022-03-26,14737,2025-11-04T22:58:49Z
