dataset,date,rows,timestamp
taxi,2020-04-01,2467,2025-11-03T15:19:42Z
taxi,2020-04-02,2246,2025-11-03T15:22:05Z
taxi,2020-04-03,2559,2025-11-03T15:24:02Z
taxi,2020-04-04,1745,2025-11-03T15:26:26Z
taxi,2020-04-05,1270,2025-11-03T15:28:39Z
taxi,2020-04-06,2171,2025-11-03T15:30:54Z
taxi,2020-04-07,2009,2025-11-03T15:32:57Z
taxi,2020-04-08,2070,2025-11-03T15:35:11Z
taxi,2020-04-09,2089,2025-11-03T15:37:35Z
taxi,2020-04-10,1972,2025-11-03T15:39:44Z
taxi,2020-04-11,1598,2025-11-03T15:42:16Z
taxi,2020-04-12,1027,2025-11-03T15:44:07Z
taxi,2020-04-13,1966,2025-11-03T15:46:15Z
taxi,2020-04-14,1857,2025-11-03T15:48:09Z
taxi,2020-04-15,1793,2025-11-03T15:50:02Z
taxi,2020-04-16,2034,2025-11-03T15:52:16Z
taxi,2020-04-17,1851,2025-11-03T15:54:23Z
taxi,2020-04-18,1479,2025-11-03T15:56:37Z
taxi,2020-04-19,1051,2025-11-03T15:58:44Z
taxi,2020-04-20,1758,2025-11-03T16:01:00Z
taxi,2020-04-21,1831,2025-11-03T16:03:11Z
taxi,2020-04-22,1876,2025-11-03T16:05:04Z
taxi,2020-04-23,1942,2025-11-03T16:07:10Z
taxi,2020-04-24,1996,2025-11-03T16:09:12Z
taxi,2020-04-25,1411,2025-11-03T16:11:28Z
taxi,2020-04-26,1047,2025-11-03T16:13:59Z
taxi,2020-04-27,1962,2025-11-03T16:16:23Z
taxi,2020-04-28,2077,2025-11-03T16:19:04Z
taxi,2020-04-29,2214,2025-11-03T16:21:20Z
taxi,2020-04-30,2255,2025-11-03T16:23:32Z
taxi,2020-05-01,2766,2025-11-03T16:26:24Z
taxi,2020-05-02,2134,2025-11-03T16:28:17Z
taxi,2020-05-03,1516,2025-11-03T16:30:23Z
taxi,2020-05-04,2607,2025-11-03T16:32:49Z
taxi,2020-05-05,2419,2025-11-03T16:34:55Z
taxi,2020-05-06,2469,2025-11-03T16:37:31Z
taxi,2020-05-07,2527,2025-11-03T16:39:51Z
taxi,2020-05-08,2437,2025-11-03T16:42:01Z
taxi,2020-05-09,1880,2025-11-03T16:44:16Z
taxi,2020-05-10,1482,2025-11-03T16:46:17Z
taxi,2020-05-11,2256,2025-11-03T16:48:14Z
taxi,2020-05-12,2339,2025-11-03T16:50:16Z
taxi,2020-05-13,2410,2025-11-03T16:52:13Z
taxi,2020-05-14,2347,2025-11-03T16:54:05Z
taxi,2020-05-15,2683,2025-11-03T16:56:09Z
taxi,2020-05-16,1917,2025-11-03T16:58:12Z
taxi,2020-05-17,1577,2025-11-03T17:00:09Z
taxi,2020-05-18,2515,2025-11-03T17:02:52Z
taxi,2020-05-19,2367,2025-11-03T17:05:09Z
taxi,2020-05-20,2533,2025-11-03T17:07:36Z
taxi,2020-05-21,2519,2025-11-03T17:09:40Z
taxi,2020-05-22,2813,2025-11-03T17:12:23Z
taxi,2020-05-23,1988,2025-11-03T17:14:41Z
taxi,2020-05-24,1692,2025-11-03T17:17:00Z
taxi,2020-05-25,1895,2025-11-03T17:19:29Z
taxi,2020-05-26,2500,2025-11-03T17:21:43Z
taxi,2020-05-27,2675,2025-11-03T17:23:51Z
taxi,2020-05-28,2721,2025-11-03T17:25:43Z
taxi,2020-05-29,2844,2025-11-03T17:27:58Z
taxi,2020-05-30,2394,2025-11-03T17:30:22Z
taxi,2020-05-31,2438,2025-11-03T17:32:22Z
taxi,2020-06-01,3282,2025-11-03T17:34:44Z
taxi,2020-06-02,3366,2025-11-03T17:36:47Z
taxi,2020-06-03,3329,2025-11-03T17:39:07Z
taxi,2020-06-04,3284,2025-11-03T17:41:16Z
taxi,2020-06-05,3603,2025-11-03T17:43:29Z
taxi,2020-06-06,2772,2025-11-03T17:45:47Z
taxi,2020-06-07,2181,2025-11-03T17:48:24Z
taxi,2020-06-08,3441,2025-11-03T17:50:29Z
taxi,2020-06-09,3415,2025-11-03T17:53:06Z
taxi,2020-06-10,3304,2025-11-03T17:55:38Z
taxi,2020-06-11,3624,2025-11-03T17:57:56Z
taxi,2020-06-12,3912,2025-11-03T18:00:17Z
taxi,2020-06-13,2738,2025-11-03T18:02:16Z
taxi,2020-06-14,2302,2025-11-03T18:04:19Z
taxi,2020-06-15,3427,2025-11-03T18:06:17Z
taxi,2020-06-16,3522,2025-11-03T18:08:39Z
taxi,2020-06-17,3672,2025-11-03T18:11:39Z
taxi,2020-06-18,3837,2025-11-03T18:13:41Z
taxi,2020-06-19,4041,2025-11-03T18:16:01Z
taxi,2020-06-20,2933,2025-11-03T18:18:25Z
taxi,2020-06-21,2428,2025-11-03T18:20:24Z
taxi,2020-06-22,3710,2025-11-03T18:22:38Z
taxi,2020-06-23,3911,2025-11-03T18:25:06Z
taxi,2020-06-24,3815,2025-11-03T18:27:28Z
taxi,2020-06-25,4224,2025-11-03T18:30:09Z
taxi,2020-06-26,4311,2025-11-03T18:32:03Z
taxi,2020-06-27,3188,2025-11-03T18:34:20Z
taxi,2020-06-28,2722,2025-11-03T18:36:28Z
taxi,2020-06-29,4325,2025-11-03T18:38:47Z
taxi,2020-06-30,4211,2025-11-03T18:40:58Z
tnp,2020-04-01,49592,2025-11-03T18:43:36Z
tnp,2020-04-02,49062,2025-11-03T18:47:04Z
tnp,2020-04-03,56772,2025-11-03T18:50:24Z
tnp,2020-04-04,50585,2025-11-03T18:54:21Z
tnp,2020-04-05,42127,2025-11-03T18:58:02Z
tnp,2020-04-06,43945,2025-11-03T19:01:53Z
tnp,2020-04-07,45790,2025-11-03T19:05:59Z
tnp,2020-04-08,45941,2025-11-03T19:09:27Z
tnp,2020-04-09,46631,2025-11-03T19:13:05Z
tnp,2020-04-10,53529,2025-11-03T19:16:14Z
