date,taxi_rows,timestamp
2024-10-01,18963,2025-11-05T08:52:47Z
2024-10-02,19169,2025-11-05T08:54:37Z
2024-10-03,19214,2025-11-05T08:56:14Z
2024-10-04,19539,2025-11-05T08:57:44Z
2024-10-05,14377,2025-11-05T08:59:22Z
2024-10-06,15037,2025-11-05T09:01:25Z
2024-10-07,19637,2025-11-05T09:03:33Z
2024-10-08,20572,2025-11-05T09:05:45Z
2024-10-09,21468,2025-11-05T09:07:57Z
2024-10-10,22758,2025-11-05T09:09:43Z
2024-10-11,21884,2025-11-05T09:11:40Z
2024-10-12,15064,2025-11-05T09:13:17Z
2024-10-13,13424,2025-11-05T09:14:46Z
2024-10-14,19039,2025-11-05T09:16:30Z
2024-10-15,22372,2025-11-05T09:18:04Z
2024-10-16,22229,2025-11-05T09:19:39Z
2024-10-17,25281,2025-11-05T09:21:35Z
2024-10-18,24158,2025-11-05T09:23:11Z
2024-10-19,17233,2025-11-05T09:24:53Z
2024-10-20,17046,2025-11-05T09:26:35Z
2024-10-21,21283,2025-11-05T09:28:10Z
2024-10-22,20645,2025-11-05T09:30:15Z
2024-10-23,21909,2025-11-05T09:32:05Z
2024-10-24,22774,2025-11-05T09:33:57Z
2024-10-25,20364,2025-11-05T09:36:03Z
2024-10-26,14347,2025-11-05T09:38:13Z
2024-10-27,13974,2025-11-05T09:40:24Z
2024-10-28,18309,2025-11-05T09:41:42Z
2024-10-29,18604,2025-11-05T09:43:05Z
2024-10-30,20304,2025-11-05T09:45:02Z
2024-10-31,17992,2025-11-05T09:46:42Z
2024-11-01,18368,2025-11-05T09:48:17Z
2024-11-02,15274,2025-11-05T09:49:55Z
2024-11-03,15957,2025-11-05T09:52:01Z
2024-11-04,22188,2025-11-05T09:54:16Z
2024-11-05,21260,2025-11-05T09:55:38Z
2024-11-06,22034,2025-11-05T09:57:43Z
2024-11-07,21843,2025-11-05T09:59:13Z
2024-11-08,19184,2025-11-05T10:01:05Z
2024-11-09,13368,2025-11-05T10:02:41Z
2024-11-10,13538,2025-11-05T10:04:16Z
2024-11-11,16977,2025-11-05T10:05:59Z
2024-11-12,20910,2025-11-05T10:08:14Z
2024-11-13,22597,2025-11-05T10:09:53Z
2024-11-14,23280,2025-11-05T10:11:40Z
2024-11-15,21427,2025-11-05T10:13:25Z
2024-11-16,15984,2025-11-05T10:15:00Z
2024-11-17,17322,2025-11-05T10:16:36Z
2024-11-18,23736,2025-11-05T10:18:28Z
2024-11-19,22188,2025-11-05T10:20:03Z
2024-11-20,23309,2025-11-05T10:21:47Z
2024-11-21,25056,2025-11-05T10:23:28Z
2024-11-22,20456,2025-11-05T10:25:13Z
2024-11-23,12990,2025-11-05T10:26:48Z
2024-11-24,11123,2025-11-05T10:28:26Z
2024-11-25,13604,2025-11-05T10:30:03Z
2024-11-26,15527,2025-11-05T10:31:35Z
2024-11-27,13625,2025-11-05T10:33:18Z
2024-11-28,7860,2025-11-05T10:35:05Z
2024-11-29,13299,2025-11-05T10:36:43Z
2024-11-30,15901,2025-11-05T10:38:34Z
2024-12-01,16194,2025-11-05T10:40:15Z
2024-12-02,21946,2025-11-05T10:42:16Z
2024-12-03,23316,2025-11-05T10:44:12Z
2024-12-04,22979,2025-11-05T10:45:38Z
2024-12-05,23528,2025-11-05T10:47:23Z
2024-12-06,21944,2025-11-05T10:49:32Z
2024-12-07,13745,2025-11-05T10:51:26Z
2024-12-08,11946,2025-11-05T10:53:59Z
2024-12-09,17181,2025-11-05T10:55:56Z
2024-12-10,19448,2025-11-05T10:57:26Z
2024-12-11,21900,2025-11-05T10:59:18Z
2024-12-12,23622,2025-11-05T11:01:11Z
2024-12-13,22566,2025-11-05T11:03:24Z
2024-12-14,15434,2025-11-05T11:05:00Z
2024-12-15,11234,2025-11-05T11:06:52Z
2024-12-16,15657,2025-11-05T11:08:56Z
2024-12-17,18168,2025-11-05T11:11:40Z
2024-12-18,19457,2025-11-05T11:13:09Z
2024-12-19,21113,2025-11-05T11:15:12Z
2024-12-20,18942,2025-11-05T11:16:43Z
2024-12-21,12779,2025-11-05T11:18:17Z
2024-12-22,10805,2025-11-05T11:20:01Z
2024-12-23,13222,2025-11-05T11:21:35Z
2024-12-24,9544,2025-11-05T11:23:39Z
2024-12-25,5326,2025-11-05T11:25:38Z
2024-12-26,11194,2025-11-05T11:28:06Z
2024-12-27,13148,2025-11-05T11:29:59Z
2024-12-28,10884,2025-11-05T11:31:43Z
2024-12-29,10255,2025-11-05T11:33:22Z
2024-12-30,13193,2025-11-05T11:35:03Z
2024-12-31,13361,2025-11-05T11:36:28Z
